customer_id	date	comments
216604	2022-08-22	Overal, this bank is satisfactory.
259276	2022-11-23	Easy to find zhe bank ' s branches and ATMs. All in oll I'v ' m happy with the service provided
265459	2022-01-21	Bank's phone app is really great. In general a good option for banking.
58770	2022-03-13	
318031	2022-08-08	
241092	2021-01-30	
380865	2022-11-20	Seriously considerin switching to a rival bank..
145660	2022-10-21	
219361	2021-09-25	i guess that my bank is committed to sustainability and reduces its carbon emission. the fees are too high. Everything is pretty good.
304040	2021-02-02	Its time für your bank to make meaningful changes and contribuite to a greener future. The banks online banking portal needs improvement. Not good enough et all!!
314559	2021-01-06	Banks webside is qute user friendly * Fairly good choice for banking
932	2021-02-27	bank branches are really easy to find * in general a good option for banking
299011	2022-01-16	monthly fees charged by this bank are reasonable,
312976	2021-06-21	It' ' s important ho me that my bank is [[commited to making a positive impact in the community. Reasonably good option for banking
170205	2021-05-06	
15145	2021-04-19	
293568	2022-08-26	Not mant financial products for people like me
375721	2022-06-08	[None]
116340	2021-11-03	you needs to contribuite more to our locality. ..
313002	2022-08-15	
199490	2022-12-14	I'm thoroughly pleased with the banking services, and I'm a happy customer overall
175580	2022-07-31	Good customer service. Overall things are good but there's room for improvement...
247357	2022-11-17	Bank has a limited range of services. Might close my account..
197632	2021-02-22	Bank's fees seem reasonable to me
32199	2021-01-10	This bank offers excellent customer service. Overall I'm fairly happy with the service
143469	2021-06-14	This bank offers a variety of useful financial products | Overall, my bank was a good choice
364402	2021-05-18	Need to broaden your range of financial products? Your mobile app doesn't work. My dissatisfaction with the bank is so great that I wouldn't recommend it...
304819	2022-01-24	You need to prioritise datas privacy for your custommers. ...
26	2022-03-12	Overall, I would say things are good
124414	2021-04-21	Easy to find a branch. In general this bank is acceptable.
368574	2021-04-24	
43714	2021-08-08	I appreciate that my bank is involved in community outreach programs. This bank's mortgage rates are quite competitive
351643	2022-11-13	Good secure mobile app. Very good, woulf recommend the a friend
47338	2021-04-02	
366619	2022-01-24	These bank charges are not transparent and I wish I hadn't opened an account with this bank.
180138	2021-03-28	
105459	2021-01-20	
198238	2021-08-15	Such poor customer service. I think I will switch to a competitor.
167046	2021-06-29	The phone app provided by the bank is very useful. Pretty fair option for banking transactions.
59094	2021-02-07	
96862	2021-02-02	Overall, pretty happy with my bank...
334475	2022-08-05	nothing to say
110386	2021-03-06	The savings rates offered by the bank all among the best in the martket. ...
82997	2021-10-25	I'm seriously considering switching to another bank.
142069	2022-04-04	The banks environmental footprint needs to be addressed. Really poor overall. Think ill switch bank soon
8890	2022-03-22	Overwall you ' re doing okay
219799	2021-05-21	Not many financial producer for people like me
287302	2022-05-22	I've been disappointed with the service provided by this bank and am considering taking my business elsewhere.
117503	2021-07-17	Bank is decent overall
350399	2021-01-10	Data privacy is taken seriously. Decent stuf overall
83205	2021-12-10	
385229	2022-12-20	
49242	2022-09-05	
291572	2021-10-22	Glad that you take online banking security seriously; This bank charges reasonable fees for its services; I'm satisfied with my bank
267073	2022-11-09	This bank's ATM network is good. Generally speaking, everything is fine
164681	2021-06-26	The banks online banking is inadequate. Your poor service is marking meet switch bank.
127777	2021-11-15	The banke needs to take steps to address customers ' concerns about data privacy. y ' m seriously considere switching to another bank
