customer_id	date	customer_gender	customer_age	customer_location	customer_type	has_cc	has_mortgage	convenience	customer_service	online_banking	interest_rates	fees_charges	community_involvement	products_services	privacy_security	reputation	satisfied
216604	2022-08-22	Male	50.0	Munster	Personal	True	False	4.0	5.0	4.0	4.0	4.0	4.0	5.0	2.0	4.0	True
259276	2022-11-23	Female	61.0	Leinster	Personal	True	False	5.0	5.0	5.0	3.0	5.0	4.0	4.0	5.0	5.0	True
265459	2022-01-21	Female	63.0	Munster	Business	True	False	2.0	2.0	5.0	5.0	2.0		4.0	4.0		True
58770	2022-03-13	f		Leinster	Business	True	False		4.0	5.0	1.0	5.0	5.0	5.0	5.0	5.0	True
318031	2022-08-08	Female	41.0	Leinster	Personal	True	True	1.0	1.0	1.0	1.0	2.0	2.0	4.0	5.0	2.0	False
241092	2021-01-30	Female	71.0		Personal	False	True	3.0	3.0	4.0	3.0	3.0	3.0	3.0	3.0	4.0	False
380865	2022-11-20	Unspecified	40.0	Munster	Business	True	False	2.0	1.0		4.0	2.0	2.0	2.0	2.0	4.0	False
145660	2022-10-21	Female	46.0	Munster	Business	False	False	3.0	2.0	4.0	4.0	4.0	4.0	4.0	4.0	3.0	True
219361	2021-09-25	Male	65.0	Leinster	Personal	True	False	5.0	4.0	1.0	4.0	4.0	4.0	5.0	4.0	2.0	True
304040	2021-02-02	Female	69.0	Connacht	Personal	True	True	4.0	4.0	4.0	1.0	2.0	1.0	2.0	4.0	2.0	False
314559	2021-01-06	Male	56.0	Munster	Business	True	False	4.0	4.0	5.0	2.0	3.0		3.0	3.0	3.0	True
932	2021-02-27		51.0	Leinster	Business	True	False	5.0	3.0	4.0	4.0	3.0	3.0	3.0	3.0	4.0	True
299011	2022-01-16			Leinster	Business	True	False	3.0	2.0	4.0	1.0	5.0	5.0	3.0	5.0	5.0	True
312976	2021-06-21	Female	50.0	Munster	Business	True	False	4.0	1.0	2.0	4.0	4.0	4.0	4.0	4.0	2.0	True
170205	2021-05-06		52.0	Ulster	Business	True	False	2.0	4.0	4.0	5.0	3.0		3.0	3.0		True
15145	2021-04-19	Male	54.0	Leinster	Business	True	False	2.0	2.0	4.0	4.0	4.0	4.0	4.0	4.0	3.0	True
293568	2022-08-26	f	31.0	Connacht	Personal	True	False	2.0	2.0	2.0	5.0	4.0	5.0		5.0	4.0	False
375721	2022-06-08	Male	35.0		Personal	True	False	1.0	2.0	1.0	5.0	5.0	4.0	3.0	3.0	5.0	False
116340	2021-11-03	Female	32.0	Leinster	Personal	False	True	1.0	2.0	1.0	4.0	3.0	1.0	2.0	2.0	3.0	False
313002	2022-08-15	Female	43.0	Ulster	Business	False	False	3.0	3.0	2.0	1.0	1.0	2.0	3.0	4.0	1.0	False
199490	2022-12-14		32.0		Business	True	False	4.0	4.0	5.0	5.0	5.0		5.0	5.0		True
175580	2022-07-31	Female		Connacht	Personal	True	False	4.0	5.0	4.0	4.0	4.0			1.0	4.0	True
247357	2022-11-17	Female		Munster	Business	True	False	1.0	2.0	3.0	2.0	1.0		3.0	4.0	4.0	False
197632	2021-02-22	Female	54.0	Munster	Business	True	False	4.0	3.0	4.0	4.0	5.0	5.0	3.0	5.0	4.0	True
32199	2021-01-10	Female	54.0	Leinster	Personal	True	False	4.0	3.0	4.0	4.0	4.0	3.0	4.0	2.0		True
143469	2021-06-14	Male	54.0	Connacht	Business	True	False	4.0	4.0	4.0	5.0		5.0	5.0	5.0	5.0	True
364402	2021-05-18	Male	42.0	Munster	Business	True	False	1.0	2.0	2.0	4.0	5.0	4.0	4.0	4.0	4.0	False
304819	2022-01-24	Female	55.0	Leinster	Personal	True	True	2.0	3.0	3.0	3.0	5.0	3.0	4.0	4.0	5.0	False
26	2022-03-12	Female	42.0	Leinster	Business	True	False	2.0	1.0	2.0	2.0	5.0	5.0	5.0	5.0	2.0	True
124414	2021-04-21	Female		Munster	Business	True	False	4.0	4.0	4.0	5.0	4.0	4.0	4.0	4.0	3.0	True
368574	2021-04-24	m	32.0	Leinster	Personal	True	False	1.0	1.0	1.0	3.0	3.0	3.0	2.0	3.0	3.0	False
43714	2021-08-08	Male	51.0	Munster	Business	True	False	1.0	2.0	5.0		5.0	5.0	5.0	5.0	5.0	True
351643	2022-11-13	Male	29.0	Leinster	Personal	True	False	5.0	5.0	5.0	5.0	5.0	2.0	5.0	5.0	5.0	True
47338	2021-04-02	Male		Leinster	Personal	True	True	1.0	4.0	3.0	4.0	1.0	3.0	1.0			False
366619	2022-01-24	Male	60.0	Ulster	Personal	False	True	3.0	4.0	4.0	2.0	3.0		4.0	4.0	3.0	False
180138	2021-03-28	Unspecified	53.0	Connacht	Business-Plus	True	True	4.0	4.0	1.0	4.0	3.0	3.0	1.0	2.0	3.0	True
105459	2021-01-20	Female	63.0	Leinster	Business	False	False	2.0	1.0	4.0	4.0	3.0	3.0	3.0	4.0		True
